BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Singleton2016","Singleton, Michael D.; Breheny, Patrick J.","Nonlinear hierarchical modeling of experimental infection data ","Preventive Veterinary Medicine",130,,"","129 - 136",2016,"","","http://www.sciencedirect.com/science/article/pii/S0167587716301751","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Singleton2016.pdf",""
7,"","Huang2016","Huang, Jian; Breheny, Patrick; Lee, Sangin; Ma, Shuangge; Zhang, Cun-Hui","The Mnet method for variable selection","Statistica Sinica",26,3,"","903-923",2016,"","","http://www3.stat.sinica.edu.tw/statistica/J26N3/J26N32/J26N32.html","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Huang2016.pdf",""
7,"","Campos2014","Campos, Juliana R.; Breheny, Patrick; Araujo, Reno R.; Troedsson, Mats H. T.; Squires, Edward L.; Timoney, Peter J.; Balasuriya, Udeni B. R.","Semen quality of stallions challenged with the Kentucky 84 strain of equine arteritis virus","Theriogenology",82,8,"","1068 - 1079",2014,"","","http://www.sciencedirect.com/science/article/pii/S0093691X14003458","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Campos2014.pdf",""
7,"","Smith2016","Smith, Caitlin J.; Saftlas, Audrey F.; Spracklen, Cassandra N.; Triche, Elizabeth W.; Bjonnes, Andrew; Keating, Brendan; Saxena, Richa; Breheny, Patrick J.; Dewan, Andrew T.; Robinson, Jennifer G.; Hoh, Josephine; Ryckman, Kelli K.","Genetic risk score for essential hypertension and risk of preeclampsia","American Journal of Hypertension",29,1,"","17-24",2016,"","","http://ajh.oxfordjournals.org/content/29/1/17.abstract","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Smith2016.pdf",""
7,"","Breheny2015","Breheny, Patrick; Huang, Jian","Group descent algorithms for nonconvex penalized linear and logistic regression models with grouped predictors","Statistics and Computing",25,2,"","173-187",2015,"","","http://dx.doi.org/10.1007/s11222-013-9424-2","","","","","","Springer US","","","","","","","","","Optimization; Penalized regression; Group lasso; Descent algorithms","/iahome/p/pb/pbreheny/pdf/articles/Breheny2015.pdf",""
7,"","BrehenyR2011","Breheny, Patrick","Review of \emphIntuitive Biostatistics, by Harvey Motulsky","The American Statistician",65,,"","67-68",2011,"","","http://amstat.tandfonline.com/doi/abs/10.1198/tast.2010.br651#.UrR0bfhY1ko","","","","","","","","","","","","","","","","",""
13,"","Huang2010u","Huang, Jian; Breheny, Patrick; Ma, Shuangge; Zhang, Cun-Hui","The Mnet Method for Variable Selection","University of Iowa, Department of Statistics and Actuarial Sciences",402,\#402,"","",2010,"","\url{http://www.stat.uiowa.edu/sites/default/files/techrep/tr402.pdf}","","","","","","","","","","University of Iowa, Department of Statistics \& Actuarial Sciences","","University of Iowa, Department of Statistics \& Actuarial Sciences","","","","","",""
7,"","Laham2015","Laham, James L.; Breheny, Patrick J.; Rush, Amanda","Do Clinical Parameters Predict First Planned Extubation Outcome in the Pediatric Intensive Care Unit?","Journal of Intensive Care Medicine",30,2,"","89-96",2015,"","","http://jic.sagepub.com/content/30/2/89.abstract","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Laham2015.pdf",""
7,"","Spracklen2015","Spracklen, Cassandra N.; Saftlas, Audrey F.; Triche, Elizabeth W.; Bjonnes, Andrew; Keating, Brendan; Saxena, Richa; Breheny, Patrick J.; Dewan, Andrew T.; Robinson, Jennifer G.; Hoh, Josephine; Ryckman, Kelli K.","Genetic Predisposition to Dyslipidemia and Risk of Preeclampsia","American Journal of Hypertension",28,7,"","915-923",2015,"","","http://ajh.oxfordjournals.org/content/28/7/915.abstract","","","","","","","","","","","","","","","","",""
7,"","Yi2015","Yi, Hui; Breheny, Patrick; Imam, Netsanet; Liu, Yongmei; Hoeschele, Ina","Penalized multimarker vs. single-marker regression methods for genome-wide association studies of quantitative traits","Genetics",199,1,"","205-222",2015,"","","http://www.genetics.org/content/199/1/205.abstract","","","","","","","","","","","","","","","","",""
7,"","Hovey2015","Hovey, Adriann M.; Devor, Eric J.; Breheny, Patrick J.; Mott, Sarah L.; Dai, Donghai; Thiel, Kristina W.; Leslie, Kimberly K.","miR-888: A Novel Cancer-Testis Antigen that Targets the Progesterone Receptor in Endometrial Cancer ","Translational Oncology",8,2,"","85 - 96",2015,"","","http://www.sciencedirect.com/science/article/pii/S1936523315000054","","","","","","","","","","","","","","","","",""
7,"","Sanz2013","Sanz, M.; Loynachan, A.; Sun, L.; Oliveira, A.; Breheny, P.; Horohov, D. W.","The effect of bacterial dose and foal age at challenge on Rhodococcus equi infection","Veterinary Microbiology",167,0,"","623--631",2013,"","","http://www.sciencedirect.com/science/article/pii/S0378113513004574","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Sanz2013.pdf",""
7,"","Vanderpool2015","Vanderpool, Robin C.; Breheny, Patrick J.; Tiller, Peggy A.; Huckelby, Carol A.; Edwards, Amy D.; Upchurch, Kristi D.; Phillips, Cynthia A.; Weyman, Christine F.","Implementation and Evaluation of a School-Based Human Papillomavirus Vaccination Program in Rural Kentucky ","American Journal of Preventive Medicine",49,2,"","317 - 323",2015,"","","http://www.sciencedirect.com/science/article/pii/S0749379715002214","","","","","","","","","","","","","","","","",""
7,"","Miller2015","Miller, Michael; Ma, Deqin; Schappet, James; Breheny, Patrick; Mott, Sarah; Bannick, Nadine; Askeland, Eric; Brown, James; Henry, Michael","Downregulation of dystroglycan glycosyltransferases LARGE2 and ISPD associate with increased mortality in clear cell renal cell carcinoma","Molecular Cancer",14,1,"","141",2015,"","","http://www.molecular-cancer.com/content/14/1/141","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Miller2015.pdf",""
7,"","Bada2015","Bada, Henrietta; Sithisarn, Thitinart; Gibson, Julia; Garlitz, Karen; Caldwell, Rhonda; Capilouto, Gilson; Li, Yinglei; Leggas, Markos; Breheny, Patrick","Morphine versus Clonidine for Neonatal Abstinence Syndrome","Pediatrics",135,2,"","e383-e391",2015,"","","http://pediatrics.aappublications.org/content/early/2015/01/20/peds.2014-2377.abstract","","","","","","","","","","","","","","","","",""
7,"","McClintock2014","McClintock, Timothy S.; Adipietro, Kaylin; Titlow, William B.; Breheny, Patrick; Walz, Andreas; Mombaerts, Peter; Matsunami, Hiroaki","\emphIn Vivo identification of eugenol-responsive and muscone-responsive mouse odorant receptors","The Journal of Neuroscience",34,47,"","15669--15678",2014,"","","http://www.jneurosci.org/content/34/47/15669.abstract","","","","","","","","","","","","","","","","",""
7,"","BrehenyR2014","Breheny, Patrick","Review of \emphGenomic Clinical Trials and Predictive Medicine, by Richard Simon","Journal of the American Statistical Association",109,,"","868-869",2014,"","","http://www.tandfonline.com/doi/full/10.1080/01621459.2014.930290#.VA845tbtB0w","","","","","","","","","","","","","","","","",""
7,"","SchofieldR2014","Schofield, Matthew; Breheny, Patrick","Review of \emphThe BUGS Book: A Practical Introduction to Bayesian Analysis, by David Lunn et al.","The American Statistician",60,,"","63",2014,"","","http://www.tandfonline.com/eprint/XdaFcqG7M4v9SChENbeM/full","","","","","","","","","","","","","","","","",""
7,"","Stokes2014","Stokes, Sean; Breheny, Patrick; Radulescu, Aurelia; Radulescu, Vlad Calin","Impact of Obesity on the Risk of Venous Thromboembolism in an Inpatient Pediatric Population","Pediatric Hematology-Oncology",31,5,"","475-480",2014,"","","http://dx.doi.org/10.3109/08880018.2014.886315","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Stokes2014.pdf",""
7,"","Crawford2014","Crawford, Timothy N.; Sanderson, Wayne T.; Breheny, Patrick; Fleming, Steven T.; Thornton, Alice","Impact of Non-HIV Related Comorbidities on Retention in HIV Medical Care: Does Retention Improve Over Time?","AIDS and Behavior",18,3,"","617-624",2014,"","","http://dx.doi.org/10.1007/s10461-013-0524-y","","","","","","Springer US","","","","","","","","","","",""
7,"","Laham2014","Laham, James L.; Breheny, Patrick J.; Gardner, Brian M.; Bada, Henrietta","Procalcitonin to Predict Bacterial Coinfection in Infants With Acute Bronchiolitis: A Preliminary Analysis","Pediatric Emergency Care",30,1,"","11--15",2014,"","","http://journals.lww.com/pec-online/Fulltext/2014/01000/Procalcitonin_to_Predict_Bacterial_Coinfection_in.3.aspx","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Laham2014.pdf",""
7,"","Heron2013","Heron, Paula; Stromberg, Arnold; Breheny, Patrick; McClintock, Timothy","Molecular events in the cell types of the olfactory epithelium during adult neurogenesis","Molecular Brain",6,1,"","49",2013,"","","http://www.molecularbrain.com/content/6/1/49","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Heron2013.pdf",""
7,"","Li2013","Li, Yinglei; Breheny, Patrick","Kernel-Based Aggregation of Marker-Level Genetic Association Tests Involving Copy-Number Variation","Microarrays",2,3,"","265--283",2013,"","","http://www.mdpi.com/2076-3905/2/3/265","","","","","","","","","","","","","","","CNV;","/iahome/p/pb/pbreheny/pdf/articles/Li2013.pdf",""
7,"","Breheny2012a","Breheny, Patrick; Li, Yinglei; Charnigo, Richard","Statistical Challenges and Opportunities in Copy Number Variant Association Studies","Journal of Biometrics \& Biostatistics",3,7,"","e118",2012,"","","http://www.omicsonline.org/2155-6180/2155-6180-3-e118.php","","","","","","OMICS Group Inc.,","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Breheny2012a.pdf",""
7,"","Owen2013","Owen, Chelsea; Breheny, Patrick; Ingram, Richard; Pfeifle, William; Cain, Jeff; Ryan, Melody","Factors Associated With Pharmacy Student Interest in International Study","American Journal of Pharmaceutical Education",77,3,"Apr","54",2013,"","","http://dx.doi.org/10.5688/ajpe77354","","","","","","American Association of Colleges of Pharmacy","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Owen2013.pdf",""
7,"","Huang2012","Huang, Jian; Breheny, Patrick; Ma, Shuangge","A Selective Review of Group Selection in High-Dimensional Models","Statistical Science",27,,"","481-499",2012,"","","http://dx.doi.org/10.1214/12-STS392","","","","","","","","","","","","","","","Grouping; PenalizedRegression","/iahome/p/pb/pbreheny/pdf/articles/Huang2012.pdf",""
7,"","Scott2012","Scott, Shaunna L.; McSpirit, Stephanie; Breheny, Patrick; Howell, Britteny M.","The Long-Term Effects of a Coal Waste Disaster on Social Trust in Appalachian Kentucky","Organization \& Environment",25,4,"","402-418",2012,"","","http://oae.sagepub.com/content/25/4/402.abstract","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Scott2012.pdf",""
7,"","Nickell2012","Nickell, Melissa D.; Breheny, Patrick; Stromberg, Arnold J.; McClintock, Timothy S.","Genomics of mature and immature olfactory sensory neurons","Journal of Comparative Neurology",520,12,"","2608--2629",2012,"","","http://dx.doi.org/10.1002/cne.23052","","","","","","Wiley Subscription Services, Inc., A Wiley Company","","","","","","","","","Breheny","/iahome/p/pb/pbreheny/pdf/articles/Nickell2012.pdf",""
7,"","Smith2012","Smith, Kathryn L.; Li, Yanqiu; Breheny, Patrick; Cook, R. Frank; Henney, Pamela J.; Sells, Stephen; Pronost, St{\'e}phane; Lu, Zhengchun; Crossley, Beate M.; Timoney, Peter J.; Balasuriya, Udeni B. R.","New Real-Time PCR Assay Using Allelic Discrimination for Detection and Differentiation of Equine Herpesvirus-1 Strains with $A_2254$ and $G_2254$ Polymorphisms","Journal of Clinical Microbiology",50,6,"","1981-1988",2012,"","","http://jcm.asm.org/content/50/6/1981.abstract","","","","","","","","","","","","","","","Breheny","/iahome/p/pb/pbreheny/pdf/articles/Smith2012.pdf",""
7,"","Breheny2012","Breheny, Patrick; Chalise, Prabhakar; Batzler, Anthony; Wang, Liewei; Fridley, Brooke L.","Genetic Association Studies of Copy-Number Variation: Should Assignment of Copy Number States Precede Testing?","PLoS ONE",7,4,"04","e34262",2012,"","","http://dx.doi.org/10.1371%2Fjournal.pone.0034262","","","","","","Public Library of Science","","","","","","","","","Breheny; CNV;","/iahome/p/pb/pbreheny/pdf/articles/Breheny2012.pdf",""
7,"","Srinivasan2012","Srinivasan, Jayaram; Breheny, Patrick J.","Meditation for Quality Improvement of Medical Encounters: Single-Intervention, Vedanta-Based Meditation Effects on Vital Signs and Mood Indices","Journal of Evidence-Based Complementary \& Alternative Medicine",17,2,"","96-103",2012,"","","http://chp.sagepub.com/content/17/2/96.abstract","","","","","","","","","","","","","","","Breheny","/iahome/p/pb/pbreheny/pdf/articles/Srinivasan2012.pdf",""
7,"","Podzielinski2012","Podzielinski, Iwona; Randall, Marcus E.; Breheny, Patrick J.; Escobar, Pedro F.; Cohn, David E.; Quick, Allison M.; Chino, Junzo P.; Lopez-Acevedo, Micael; Seitz, Jana L.; Zook, Jennifer E.; Seamon, Leigh G.","Primary radiation therapy for medically inoperable patients with clinical stage I and II endometrial carcinoma","Gynecologic Oncology",124,1,"","36--41",2012,"","","http://www.sciencedirect.com/science/article/pii/S009082581100792X","","","","","","","","","","","","","","","Breheny","/iahome/p/pb/pbreheny/pdf/articles/Podzielinski2012.pdf",""
7,"","Fardo2011","Fardo, David; Druen, Anthony; Liu, Jinze; Mirea, Lucia; Infante-Rivard, Claire; Breheny, Patrick","Exploration and comparison of methods for combining population- and family-based genetic association using the Genetic Analysis Workshop 17 mini-exome","BMC Proceedings",5,Suppl 9,"","S28",2011,"","","http://www.biomedcentral.com/1753-6561/5/S9/S28","","","","","","","","","","","","","","","Genetics","/iahome/p/pb/pbreheny/pdf/articles/Fardo2011.pdf",""
7,"","Breheny2011","Breheny, Patrick; Huang, Jian","Coordinate descent algorithms for nonconvex penalized regression, with applications to biological feature selection","Annals of Applied Statistics",5,1,"","232--253",2011,"","","http://dx.doi.org/10.1214/10-AOAS388","","","","","","","","","","","","","","","","/iahome/p/pb/pbreheny/pdf/articles/Breheny2011.pdf",""
7,"","Gode-Potratz2011","Gode-Potratz, C. J.; Kustusch, R. J.; Breheny, P. J.; Weiss, D. S.; McCarter, L. L.","Surface sensing in Vibrio parahaemolyticus triggers a programme of gene expression that promotes colonization and virulence","Molecular Microbiology",79,1,"","240--263",2011,"","","http://dx.doi.org/10.1111/j.1365-2958.2010.07445.x","","","","","","","","","","","","","","","Breheny","/iahome/p/pb/pbreheny/pdf/articles/Gode-Potratz2011.pdf",""
7,"","Breheny2003","Breheny, P. J.; Laederach, A.; Fulton, D. B.; Andreotti, A. H.","Ligand specificity modulated by prolyl imide bond cis/trans isomerization in the Itk SH2 domain: a quantitative NMR study","Journal of the American Chemical Society",125,51,"","15706--15707",2003,"","","http://pubs.acs.org/doi/abs/10.1021/ja0375380","","","","","","ACS Publications","","","","","","","","","Breheny","/iahome/p/pb/pbreheny/pdf/articles/Breheny2003.pdf",""
7,"","Gfeller2008","Gfeller, K.; Oleson, J.; Knutson, J. F.; Breheny, P.; Driscoll, V.; Olszewski, C.","Multivariate predictors of music perception and appraisal by adult cochlear implant users","Journal of the American Academy of Audiology",19,2,"","120",2008,"","","http://www.ingentaconnect.com/content/aaa/jaaa/2008/00000019/00000002/art00003?token=0059169ff49f676720297d7634447b2e7b6c7a737b4235206d3f6a4b4b6e6e42576b642738201ffe515cbac77","","","","","","","","","","","","","","","Application","/iahome/p/pb/pbreheny/pdf/articles/Gfeller2008.pdf",""
7,"","Oleson2008","Oleson, J. J.; Breheny, P. J.; Pendergast, J. F.; Ryan, S.; Litchfield, R.","Impact of travel distance on WISEWOMAN Intervention attendance for a rural population","Preventive Medicine",47,5,"","565--569",2008,"","","http://www.sciencedirect.com/science/article/pii/S0091743508003472","","","","","","Elsevier","","","","","","","","","Smoothing; Application","/iahome/p/pb/pbreheny/pdf/articles/Oleson2008.pdf",""
7,"","Breheny2009","Breheny, P.; Huang, J.","Penalized methods for bi-level variable selection","Statistics and Its Interface",2,,"","369--380",2009,"","","http://intlpress.com/site/pub/pages/journals/items/sii/content/vols/0002/0003/a010/index.html","","","","","","","","","","","","","","","Grouping; PenalizedRegression","/iahome/p/pb/pbreheny/pdf/articles/Breheny2009.pdf",""
